person_id;person_trip_id;leg_index;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;euclidean_distance;origin_link_id;destination_link_id
142828;0;1;722715.5770173934;5357672.727710253;714419.4295741741;5355256.572445482;14476.0;1113.0;10677.5274765361;10677.5274765361;car;8640.825693364797;30954;64041
117325;0;0;714688.1321140041;5354629.090873813;714688.1321140041;5354629.090873813;15531.0;88.0;0.0;110.44436035166386;walk;0.0;52467;52467
218714;0;1;704524.2040187082;5359479.157654702;704131.3066421852;5363014.26784827;15234.0;393.0;0.0;6413.311864805796;car_passenger;3556.8767801470203;40088;492
186376;0;2;703281.9389366154;5364889.977501478;703281.9389366154;5364889.977501478;15483.0;146.0;0.0;182.7794241757247;walk;0.0;56246;56246
175571;0;0;714177.8872007795;5355604.032483817;714177.8872007795;5355604.032483817;15557.0;74.0;0.0;93.4092433261475;walk;0.0;60848;60848
149159;0;0;723195.7079062683;5349167.6303250715;723195.7079062683;5349167.6303250715;15391.0;256.0;0.0;321.0639337465207;walk;0.0;64764;64764
159391;0;1;701299.194149443;5364603.258463265;716547.4469253016;5371475.338652022;13850.0;1807.0;19517.799541861048;19517.799541861048;car;16725.271263485804;5577;66499
142828;0;2;714419.4295741741;5355256.572445482;714419.4295741741;5355256.572445482;15589.0;70.0;0.0;87.66326866598993;walk;0.0;64041;64041
218714;0;2;704131.3066421852;5363014.26784827;704131.3066421852;5363014.26784827;15627.0;48.0;0.0;60.63008665146918;walk;0.0;492;492
159391;0;2;716547.4469253016;5371475.338652022;716547.4469253016;5371475.338652022;15657.0;42.0;0.0;52.99973034213515;walk;0.0;66499;66499
186818;0;1;704200.6600354405;5364217.45489094;700891.7028357588;5364211.813306129;14903.0;811.0;5093.290338760598;5093.290338760598;car;3308.962008969629;53429;14542
112459;0;0;684728.2694029997;5371383.36337308;684728.2694029997;5371383.36337308;15542.0;172.0;0.0;215.46115206666815;walk;0.0;22342;22342
166846;0;0;684885.9506522298;5381368.609490723;684885.9506522298;5381368.609490723;15754.0;0.0;0.0;0.0;walk;0.0;5428;5428
193242;0;0;693560.1487712772;5358386.0098693445;693560.1487712772;5358386.0098693445;15705.0;50.0;0.0;63.727296268543896;walk;0.0;40216;40216
143089;0;0;738469.8520664771;5353844.530129792;738469.8520664771;5353844.530129792;15717.0;38.0;0.0;48.17446050112638;walk;0.0;21675;21675
186818;0;2;700891.7028357588;5364211.813306129;700891.7028357588;5364211.813306129;15714.0;76.0;0.0;95.29911693942749;walk;0.0;14542;14542
231882;0;0;684383.3998853734;5377577.670311176;684383.3998853734;5377577.670311176;15616.0;180.0;0.0;226.0034273499646;walk;0.0;41024;41024
157401;0;1;702277.6527976088;5352917.558116328;702920.0394349783;5356257.920400111;15497.0;315.0;0.0;5547.294729562693;car_passenger;3401.5703401210335;47235;44114
91776;0;0;694944.2796018091;5352855.969960364;694944.2796018091;5352855.969960364;15784.0;87.0;0.0;109.68868206564052;walk;0.0;60704;60704
192543;0;0;699291.3242219696;5355254.109538872;699291.3242219696;5355254.109538872;15874.0;21.0;0.0;26.528603617861478;walk;0.0;10728;10728
121909;0;0;713525.6976434647;5343862.865858838;713525.6976434647;5343862.865858838;15920.0;20.0;0.0;25.269317545201922;walk;0.0;6071;6071
259426;0;0;682108.1767309107;5396465.572438403;682554.5632791752;5398449.210390325;15337.0;605.0;0.0;2521.9240730780407;bicycle;2033.2438306252227;45501;39585
277499;0;1;703509.9824468461;5364783.905416306;701299.194149443;5364603.258463265;15430.0;526.0;3412.482912800722;3412.482912800722;car;2218.1564907773227;70813;5577
157401;0;2;702920.0394349783;5356257.920400111;702920.0394349783;5356257.920400111;15812.0;187.0;0.0;234.1034878092839;walk;0.0;44114;44114
