person_id;activity_index;purpose;start_time;end_time;x;y;facility_id;link_id
447453;1;other;52660.0;57390.0;692716.506111;5393258.263725;sec_12384;72861
438743;0;home;-Infinity;52661.0;678872.273216;5389283.605694;home_438743;43724
316646;1;shop;52661.0;55813.0;719267.574511;5373056.172099;sec_1612;7429
97895;3;work;52662.0;64973.0;716618.675859;5358408.342821;work_1709;14035
184426;0;home;-Infinity;52663.0;704291.936343;5365352.969821;home_184426;44606
421440;4;leisure;52665.0;60749.0;711865.735448;5346897.1298;sec_2385;60393
304825;4;home;52666.0;58313.0;713491.113179;5347820.804091;home_304825;30352
409980;0;home;-Infinity;52668.0;693892.315467;5386233.102171;home_409980;58809
144161;4;home;52669.0;Infinity;716608.546411;5359134.148983;home_144161;53770
51338;1;shop;52670.0;54674.0;717021.567857;5344882.729835;sec_1136;20020
269682;2;home;52670.0;66009.0;723915.086015;5340930.091514;home_269682;36612
190035;0;home;-Infinity;52671.0;707369.317859;5365465.359472;home_190035;58597
377461;3;other;52671.0;53027.0;720832.535603;5366597.04529;sec_6932;37753
134984;0;home;-Infinity;52672.0;709990.867759;5371145.428141;home_134984;16999
154580;4;other;52673.0;54187.0;701075.453878;5363917.79462;sec_8218;35944
415991;0;home;-Infinity;52674.0;716634.629944;5355800.045827;home_415991;77855
343433;0;home;-Infinity;52676.0;713920.524336;5344153.781142;home_343433;76850
360469;0;home;-Infinity;52677.0;683770.333023;5399813.444225;home_360469;6194
391870;1;shop;52678.0;58486.0;704321.545642;5365148.672399;sec_1317;33298
365489;0;home;-Infinity;52680.0;694751.33922;5380002.002803;home_365489;77126
228685;2;leisure;52682.0;52682.0;701897.086322;5374080.183341;sec_2768;80878
228685;3;leisure;52682.0;57859.0;701897.086322;5374080.183341;sec_2768;80878
272250;6;home;52685.0;Infinity;722680.003632;5343768.393205;home_272250;29825
448551;3;leisure;52686.0;65572.0;679148.4647;5389085.253523;sec_2813;69568
416036;0;home;-Infinity;52687.0;716707.191106;5359016.774331;home_416036;19966
420249;1;shop;52687.0;62780.0;715535.940969;5347619.600426;sec_1146;77604
192861;3;home;52688.0;65141.0;696961.729326;5355722.097912;home_192861;12600
89708;0;home;-Infinity;52689.0;733867.605801;5354027.599399;home_89708;17583
