person_id;operator_id;main_mode;vehicle_id;origin_link_id;origin_x;origin_y;destination_link_id;destination_x;destination_y;departure_time;arrival_time;waiting_time;distance
270598;drt;drt;NaN;17740;728728.8718251114;5349051.617292369;null;NaN;NaN;20393.0;NaN;NaN;0.0
190554;drt;drt;NaN;80551;717069.515936945;5373220.688508822;null;NaN;NaN;20396.0;NaN;NaN;0.0
185248;drt;drt;NaN;43024;700409.9360722182;5363244.574054148;null;NaN;NaN;20434.0;NaN;NaN;0.0
245636;drt;drt;NaN;46369;711754.9250808863;5347343.499597622;null;NaN;NaN;20483.0;NaN;NaN;0.0
216116;drt;drt;NaN;50982;692834.8811928723;5355619.596721983;null;NaN;NaN;20483.0;NaN;NaN;0.0
199981;drt;drt;NaN;61554;685314.1686953023;5371149.972743735;null;NaN;NaN;20494.0;NaN;NaN;0.0
191047;drt;drt;NaN;10401;717103.4453039573;5372458.558714431;null;NaN;NaN;20511.0;NaN;NaN;0.0
321665;drt;drt;NaN;36325;703946.6653100287;5375989.802597666;null;NaN;NaN;20564.0;NaN;NaN;0.0
143025;drt;drt;NaN;25793;731592.6311966169;5350908.04125113;null;NaN;NaN;20568.0;NaN;NaN;0.0
95885;drt;drt;NaN;34105;685233.0801059855;5378187.324718932;null;NaN;NaN;20571.0;NaN;NaN;0.0
115125;drt;drt;NaN;8049;731721.3827106343;5352662.317124069;null;NaN;NaN;20624.0;NaN;NaN;0.0
266234;drt;drt;NaN;40440;731914.7999428532;5351966.585915843;null;NaN;NaN;20660.0;NaN;NaN;0.0
323226;drt;drt;NaN;20477;674807.6567402141;5373616.790317991;null;NaN;NaN;20677.0;NaN;NaN;0.0
136942;drt;drt;NaN;43683;680779.1445495514;5398474.2117995145;null;NaN;NaN;20789.0;NaN;NaN;0.0
202086;drt;drt;NaN;72991;693510.8995744057;5387026.935095509;null;NaN;NaN;20798.0;NaN;NaN;0.0
97835;drt;drt;NaN;30589;715928.4264557901;5354558.464008212;null;NaN;NaN;20800.0;NaN;NaN;0.0
216922;drt;drt;NaN;44686;706580.071575981;5384265.407097012;null;NaN;NaN;20828.0;NaN;NaN;0.0
229378;drt;drt;NaN;68895;681564.3975963197;5394321.808618259;null;NaN;NaN;20830.0;NaN;NaN;0.0
164912;drt;drt;NaN;10590;674266.8677133166;5381962.203908065;null;NaN;NaN;20860.0;NaN;NaN;0.0
376950;drt;drt;NaN;73051;716476.6458365105;5363901.0668017;null;NaN;NaN;20873.0;NaN;NaN;0.0
140084;drt;drt;NaN;49581;697613.2386388188;5388072.476021171;null;NaN;NaN;20888.0;NaN;NaN;0.0
123253;drt;drt;NaN;2190;694383.0941271778;5352285.940551899;null;NaN;NaN;20939.0;NaN;NaN;0.0
149337;drt;drt;NaN;77564;715297.414373768;5347352.983620683;null;NaN;NaN;20968.0;NaN;NaN;0.0
300478;drt;drt;NaN;52553;705032.931040385;5347636.026988828;null;NaN;NaN;20972.0;NaN;NaN;0.0
150254;drt;drt;NaN;60059;711986.6804121248;5347115.834812297;null;NaN;NaN;20973.0;NaN;NaN;0.0
114164;drt;drt;NaN;24164;696018.793134063;5393620.175939553;null;NaN;NaN;20990.0;NaN;NaN;0.0
325043;drt;drt;NaN;36920;687376.9659243055;5401187.255341958;null;NaN;NaN;21045.0;NaN;NaN;0.0
129506;drt;drt;NaN;66340;703528.4873715723;5354567.588174567;null;NaN;NaN;21059.0;NaN;NaN;0.0
