node_index,source_node_id,pos_x,pos_y,is_stop_only
49,10032817957,702801.8069123377,5364726.5419128565,False
50,10032902617,702984.0764372193,5364792.19262289,False
51,10032945292,703294.6236531336,5364831.247419389,False
52,10032945293,703275.749387806,5364824.483108755,False
53,10032945294,703265.7560076592,5364820.908535435,False
54,10032945295,703150.5118476088,5364789.74491438,False
55,10032945296,703133.3360503921,5364788.094177253,False
56,10032945297,702929.7501743628,5364780.565117424,False
57,10032945298,702886.599371587,5364763.507177587,False
58,10032945299,702615.4655055732,5364668.563631153,False
59,10032945300,702604.8335787279,5364665.423682491,False
60,10032945301,702542.3355296963,5364629.0483052535,False
61,10033091645,703307.1730027731,5365570.842724538,False
62,10033091660,703332.8341999496,5365574.423449823,False
63,10033609119,699479.6910806769,5376175.098587861,False
64,10035382841,689606.4161007173,5385731.012580929,False
65,10035382846,689625.7434914564,5385772.054609235,False
66,10035382852,689639.6740139627,5385748.300571084,False
67,10035803968,704014.0523815907,5364049.42960288,False
68,10041277039,703466.6498155504,5365365.700476702,False
69,10041277041,703476.7612764887,5365366.16381996,False
70,10041487552,689981.2946977495,5358203.361670564,False
71,10042327011,694322.2828587528,5354930.578411263,False
72,1004305727,677557.6688784325,5383401.730013281,False
73,10049858939,687559.4123465866,5382281.581524063,False
74,10049882248,697056.866450138,5355290.254238026,False
75,10050173559,732572.8081730452,5364133.669548312,False
76,10056979005,727531.5700904776,5340810.068547677,False
77,10059864710,702413.9408120001,5364688.290668968,False
78,10060162874,702499.9316289873,5364615.291805255,False
79,10065446736,701597.7490258788,5361897.050987885,False
80,10066973211,703811.8268441672,5364655.173880449,False
81,10067121607,714586.6700469133,5370515.121612899,False
82,10068611165,702376.2932184278,5364520.002809026,False
83,10068611166,702384.9396882256,5364516.917575352,False
84,10068611167,702403.6036290624,5364510.328740155,False
85,10068611168,702342.0485165204,5364532.545229686,False
86,10068613977,702267.2238616336,5364383.473300404,False
87,10069122414,716946.3449220626,5363531.221052563,False
88,10079920995,682684.4628987447,5399447.306158432,False
89,10080804267,709608.3900610723,5359953.652992478,False
90,10080804270,709646.5661220057,5359924.503383277,False
91,10080908358,710003.7917156095,5359698.907834593,False
92,10080908359,709999.1715180592,5359706.905489662,False
93,10083151196,734588.7468729676,5348796.764221155,False
94,10092226410,717002.8632669174,5372497.547303319,False
95,10092322286,726890.679879578,5347123.977215122,False
96,10116192216,709010.1763287334,5359399.899001534,False
97,10132929310,717059.6453995071,5373178.25409784,False
98,10132944025,717058.2166322703,5373172.099899782,False
99,10135562733,685410.5628123465,5377514.416810631,False
100,10135780354,685532.1563224955,5378699.428452369,False
101,10137482387,675153.3554458858,5368660.141272842,False
102,1014271073,710229.0133118771,5353260.937351048,False
103,1014385808,701032.0130149608,5364275.520823748,False
104,1014418779,678871.6226150627,5366989.116743399,False
105,1015557950,691266.7402626374,5388266.3622718435,False
106,1015569688,681134.1301954434,5386577.885544156,False
107,1015569719,680815.0627877836,5386508.6887344485,False
108,1016169293,691761.7642425187,5405529.868436905,False
109,1016169369,692061.9420036854,5405425.041175047,False
110,1016169444,692668.8825625023,5404711.739925447,False
111,1016169738,691749.164048509,5405452.23287106,False
112,1016169835,692066.1585669519,5405410.63096006,False
113,1016170052,690177.9900635037,5406229.834397916,False
114,1016170144,691801.8043844422,5405467.045958711,False
115,1016170226,691166.4812688227,5406724.200306084,False
116,1016170460,692637.6024430342,5405308.17781996,False
117,1016170558,692275.9830392473,5404218.6643109815,False
118,1016170575,692576.765100928,5405287.254827935,False
119,1016170579,692031.7477753412,5405452.279879304,False
120,1016170636,691157.0130469188,5406634.210405081,False
121,10162596015,732392.2118817471,5348698.306772974,False
122,10173356216,738457.6380035776,5351809.176147591,False
123,10175994562,716696.6286785423,5371326.791420936,False
124,1018054526,691413.5733701988,5403827.795002824,False
125,1018186276,716244.1191313523,5378870.530885686,False
126,1018186380,717269.5079213249,5384084.604217225,False
127,1018186455,717341.1977259334,5381550.941325978,False
128,1018370783,684458.3671623766,5371208.777416934,False
129,1018370798,684609.7979324986,5371528.198350391,False
130,1018370804,684645.2516345219,5371144.660807891,False
131,1018370848,684623.6317612716,5371384.378210801,False
132,1018370871,684603.0114902782,5371165.466931545,False
133,1018370873,684471.1910945572,5371103.731907197,False
